state_birth_ave_gms,State
3173.16,MS
3176.77,LA
3180.37,NM
3190.41,WY
3196.22,CO
3198.22,AL
3205.05,DC
3220.39,GA
3223.49,NV
3224.01,HI
3237.14,SC
3244.61,TX
3251.88,WV
3255.18,FL
3255.83,NC
3260.31,AR
3263.04,DE
3265.67,TN
3266.45,AZ
3268.84,VA
3272.57,UT
3272.8,KY
3273.8,NJ
3274.06,OK
3278.03,IL
3278.75,MO
3279.76,OH
3279.82,MD
3285.11,IN
3286.77,MT
3291.5,PA
3292.02,KS
3296.67,MI
3298.35,NY
3301.11,ID
3309.03,CT
3315.47,MA
3318.16,CA
3320.31,NE
3324.87,SD
3325.45,RI
3325.98,WI
3331.66,IA
3344.63,ME
3345.28,OR
3346.67,ND
3353.01,NH
3355.75,VT
3357.23,WA
3360.78,MN
3391.22,AK
